[ 2023-07-30 16:31:46,852 ] 18 root - INFO - Reading the Train data
[ 2023-07-30 16:31:47,194 ] 23 root - INFO - Reading the Train data successful
[ 2023-07-30 16:31:47,195 ] 32 root - INFO - Reading the test data
[ 2023-07-30 16:31:47,263 ] 37 root - INFO - Reading the test data successful
[ 2023-07-30 16:31:47,263 ] 22 root - INFO - Started data transformation for Train Data
[ 2023-07-30 16:31:47,263 ] 24 root - INFO - Started reading the train data
[ 2023-07-30 16:31:47,316 ] 27 root - INFO - Reading the train data completed
[ 2023-07-30 16:31:47,361 ] 35 root - INFO -  Started Filling the null Values of Item weight
[ 2023-07-30 16:31:47,411 ] 44 root - INFO - Completed filling the null values
[ 2023-07-30 16:31:47,411 ] 46 root - INFO - Started filling null values of Outlet size
[ 2023-07-30 16:31:47,413 ] 49 root - INFO - Filling null values of Outlet size is completed
[ 2023-07-30 16:31:47,413 ] 54 root - INFO - Started replacing the values of Item fat content
[ 2023-07-30 16:31:47,415 ] 60 root - INFO - Replacing the values of Item fat content completed
[ 2023-07-30 16:31:47,415 ] 66 root - INFO - Applying label encoding to Item type
[ 2023-07-30 16:31:47,418 ] 72 root - INFO - Applying label encoding to Item type completed
[ 2023-07-30 16:31:47,419 ] 83 root - INFO - Started Label encoding to Item fat content
[ 2023-07-30 16:31:47,424 ] 86 root - INFO - Label encoding to Item fat content completed
[ 2023-07-30 16:31:47,424 ] 91 root - INFO - Started Label encoding to outlet size
[ 2023-07-30 16:31:47,430 ] 94 root - INFO - Label encoding to outlet size completed
[ 2023-07-30 16:31:47,430 ] 99 root - INFO - Started Label encoding to outlet location type
[ 2023-07-30 16:31:47,434 ] 102 root - INFO -  Label encoding to outlet location type completed
[ 2023-07-30 16:31:47,434 ] 107 root - INFO - Started Label encoding to outlet type
[ 2023-07-30 16:31:47,437 ] 110 root - INFO - Label encoding to outlet type completed
[ 2023-07-30 16:31:47,438 ] 115 root - INFO - Completed data transformation for Train Data
[ 2023-07-30 16:31:47,438 ] 120 root - INFO - Started data transformation for Test Data
[ 2023-07-30 16:31:47,438 ] 121 root - INFO - Started reading the test data
[ 2023-07-30 16:31:47,456 ] 124 root - INFO - Reading the test data completed
[ 2023-07-30 16:31:47,456 ] 132 root - INFO -  Started Filling the null Values of Item weight
[ 2023-07-30 16:31:47,472 ] 141 root - INFO - Completed filling the null values
[ 2023-07-30 16:31:47,472 ] 143 root - INFO - Started filling null values of Outlet size
[ 2023-07-30 16:31:47,473 ] 146 root - INFO - Filling null values of Outlet size is completed
[ 2023-07-30 16:31:47,473 ] 151 root - INFO - Started replacing the values of Item fat content
[ 2023-07-30 16:31:47,475 ] 157 root - INFO - Replacing the values of Item fat content completed
[ 2023-07-30 16:31:47,475 ] 163 root - INFO - Applying label encoding to Item type
[ 2023-07-30 16:31:47,478 ] 169 root - INFO - Applying label encoding to Item type completed
[ 2023-07-30 16:31:47,478 ] 180 root - INFO - Started Label encoding to Item fat content
[ 2023-07-30 16:31:47,482 ] 183 root - INFO - Label encoding to Item fat content completed
[ 2023-07-30 16:31:47,482 ] 188 root - INFO - Started Label encoding to outlet size
[ 2023-07-30 16:31:47,485 ] 191 root - INFO - Label encoding to outlet size completed
[ 2023-07-30 16:31:47,485 ] 196 root - INFO - Started Label encoding to outlet location type
[ 2023-07-30 16:31:47,488 ] 199 root - INFO -  Label encoding to outlet location type completed
[ 2023-07-30 16:31:47,488 ] 204 root - INFO - Started Label encoding to outlet type
[ 2023-07-30 16:31:47,491 ] 207 root - INFO - Label encoding to outlet type completed
[ 2023-07-30 16:31:47,491 ] 212 root - INFO - Completed data transformation for Test Data
[ 2023-07-30 16:31:47,562 ] 18 root - INFO - Reading the Train data
[ 2023-07-30 16:31:47,633 ] 23 root - INFO - Reading the Train data successful
[ 2023-07-30 16:31:47,633 ] 32 root - INFO - Reading the test data
[ 2023-07-30 16:31:47,677 ] 37 root - INFO - Reading the test data successful
[ 2023-07-30 16:31:47,678 ] 22 root - INFO - Started data transformation for Train Data
[ 2023-07-30 16:31:47,678 ] 24 root - INFO - Started reading the train data
[ 2023-07-30 16:31:47,701 ] 27 root - INFO - Reading the train data completed
[ 2023-07-30 16:31:47,702 ] 35 root - INFO -  Started Filling the null Values of Item weight
[ 2023-07-30 16:31:47,720 ] 44 root - INFO - Completed filling the null values
[ 2023-07-30 16:31:47,720 ] 46 root - INFO - Started filling null values of Outlet size
[ 2023-07-30 16:31:47,722 ] 49 root - INFO - Filling null values of Outlet size is completed
[ 2023-07-30 16:31:47,722 ] 54 root - INFO - Started replacing the values of Item fat content
[ 2023-07-30 16:31:47,723 ] 60 root - INFO - Replacing the values of Item fat content completed
[ 2023-07-30 16:31:47,723 ] 66 root - INFO - Applying label encoding to Item type
[ 2023-07-30 16:31:47,728 ] 72 root - INFO - Applying label encoding to Item type completed
[ 2023-07-30 16:31:47,728 ] 83 root - INFO - Started Label encoding to Item fat content
[ 2023-07-30 16:31:47,733 ] 86 root - INFO - Label encoding to Item fat content completed
[ 2023-07-30 16:31:47,733 ] 91 root - INFO - Started Label encoding to outlet size
[ 2023-07-30 16:31:47,738 ] 94 root - INFO - Label encoding to outlet size completed
[ 2023-07-30 16:31:47,738 ] 99 root - INFO - Started Label encoding to outlet location type
[ 2023-07-30 16:31:47,743 ] 102 root - INFO -  Label encoding to outlet location type completed
[ 2023-07-30 16:31:47,744 ] 107 root - INFO - Started Label encoding to outlet type
[ 2023-07-30 16:31:47,747 ] 110 root - INFO - Label encoding to outlet type completed
[ 2023-07-30 16:31:47,747 ] 115 root - INFO - Completed data transformation for Train Data
[ 2023-07-30 16:31:47,747 ] 120 root - INFO - Started data transformation for Test Data
[ 2023-07-30 16:31:47,747 ] 121 root - INFO - Started reading the test data
[ 2023-07-30 16:31:47,765 ] 124 root - INFO - Reading the test data completed
[ 2023-07-30 16:31:47,765 ] 132 root - INFO -  Started Filling the null Values of Item weight
[ 2023-07-30 16:31:47,780 ] 141 root - INFO - Completed filling the null values
[ 2023-07-30 16:31:47,781 ] 143 root - INFO - Started filling null values of Outlet size
[ 2023-07-30 16:31:47,782 ] 146 root - INFO - Filling null values of Outlet size is completed
[ 2023-07-30 16:31:47,782 ] 151 root - INFO - Started replacing the values of Item fat content
[ 2023-07-30 16:31:47,783 ] 157 root - INFO - Replacing the values of Item fat content completed
[ 2023-07-30 16:31:47,783 ] 163 root - INFO - Applying label encoding to Item type
[ 2023-07-30 16:31:47,786 ] 169 root - INFO - Applying label encoding to Item type completed
[ 2023-07-30 16:31:47,786 ] 180 root - INFO - Started Label encoding to Item fat content
[ 2023-07-30 16:31:47,789 ] 183 root - INFO - Label encoding to Item fat content completed
[ 2023-07-30 16:31:47,789 ] 188 root - INFO - Started Label encoding to outlet size
[ 2023-07-30 16:31:47,793 ] 191 root - INFO - Label encoding to outlet size completed
[ 2023-07-30 16:31:47,793 ] 196 root - INFO - Started Label encoding to outlet location type
[ 2023-07-30 16:31:47,796 ] 199 root - INFO -  Label encoding to outlet location type completed
[ 2023-07-30 16:31:47,796 ] 204 root - INFO - Started Label encoding to outlet type
[ 2023-07-30 16:31:47,798 ] 207 root - INFO - Label encoding to outlet type completed
